data_date,time_index,area,num_people
2025-10-15,1,A,4
2025-10-15,1,B,17
2025-10-15,1,C,8
2025-10-15,1,D,12
2025-10-15,1,E,6
2025-10-15,1,F,10
2025-10-15,1,G,5
2025-10-15,1,H,7
2025-10-15,1,J,3
2025-10-15,1,K,3
2025-10-15,1,L,4
2025-10-15,1,M,1
2025-10-15,1,N,6
2025-10-15,1,GH,4
2025-10-15,1,IM1,9
2025-10-15,1,IM2,2
2025-10-15,1,Outside,99
2025-10-15,2,A,1
2025-10-15,2,B,15
2025-10-15,2,C,8
2025-10-15,2,D,7
2025-10-15,2,E,4
2025-10-15,2,F,5
2025-10-15,2,G,5
2025-10-15,2,H,3
2025-10-15,2,J,1
2025-10-15,2,K,6
2025-10-15,2,L,4
2025-10-15,2,M,1
2025-10-15,2,N,6
2025-10-15,2,GH,5
2025-10-15,2,IM1,4
2025-10-15,2,IM2,3
2025-10-15,2,Outside,120
2025-10-15,3,A,0
2025-10-15,3,B,21
2025-10-15,3,C,4
2025-10-15,3,D,11
2025-10-15,3,E,3
2025-10-15,3,F,7
2025-10-15,3,G,3
2025-10-15,3,H,8
2025-10-15,3,J,2
2025-10-15,3,K,3
2025-10-15,3,L,4
2025-10-15,3,M,3
2025-10-15,3,N,5
2025-10-15,3,GH,5
2025-10-15,3,IM1,6
2025-10-15,3,IM2,2
2025-10-15,3,Outside,114
2025-10-15,4,A,0
2025-10-15,4,B,19
2025-10-15,4,C,5
2025-10-15,4,D,7
2025-10-15,4,E,9
2025-10-15,4,F,10
2025-10-15,4,G,2
2025-10-15,4,H,10
2025-10-15,4,J,2
2025-10-15,4,K,3
2025-10-15,4,L,6
2025-10-15,4,M,1
2025-10-15,4,N,6
2025-10-15,4,GH,5
2025-10-15,4,IM1,5
2025-10-15,4,IM2,5
2025-10-15,4,Outside,108
2025-10-15,5,A,0
2025-10-15,5,B,12
2025-10-15,5,C,7
2025-10-15,5,D,8
2025-10-15,5,E,8
2025-10-15,5,F,9
2025-10-15,5,G,5
2025-10-15,5,H,7
2025-10-15,5,J,3
2025-10-15,5,K,3
2025-10-15,5,L,5
2025-10-15,5,M,1
2025-10-15,5,N,5
2025-10-15,5,GH,5
2025-10-15,5,IM1,10
2025-10-15,5,IM2,4
2025-10-15,5,Outside,111
2025-10-15,6,A,0
2025-10-15,6,B,11
2025-10-15,6,C,6
2025-10-15,6,D,13
2025-10-15,6,E,8
2025-10-15,6,F,6
2025-10-15,6,G,1
2025-10-15,6,H,16
2025-10-15,6,J,4
2025-10-15,6,K,3
2025-10-15,6,L,7
2025-10-15,6,M,1
2025-10-15,6,N,5
2025-10-15,6,GH,3
2025-10-15,6,IM1,8
2025-10-15,6,IM2,1
2025-10-15,6,Outside,99
2025-10-15,7,A,0
2025-10-15,7,B,10
2025-10-15,7,C,8
2025-10-15,7,D,13
2025-10-15,7,E,12
2025-10-15,7,F,8
2025-10-15,7,G,3
2025-10-15,7,H,7
2025-10-15,7,J,2
2025-10-15,7,K,3
2025-10-15,7,L,10
2025-10-15,7,M,1
2025-10-15,7,N,4
2025-10-15,7,GH,7
2025-10-15,7,IM1,7
2025-10-15,7,IM2,3
2025-10-15,7,Outside,103
2025-10-15,8,A,0
2025-10-15,8,B,13
2025-10-15,8,C,4
2025-10-15,8,D,9
2025-10-15,8,E,9
2025-10-15,8,F,6
2025-10-15,8,G,7
2025-10-15,8,H,14
2025-10-15,8,J,2
2025-10-15,8,K,4
2025-10-15,8,L,7
2025-10-15,8,M,1
2025-10-15,8,N,6
2025-10-15,8,GH,4
2025-10-15,8,IM1,8
2025-10-15,8,IM2,6
2025-10-15,8,Outside,94
2025-10-15,9,A,0
2025-10-15,9,B,11
2025-10-15,9,C,5
2025-10-15,9,D,14
2025-10-15,9,E,11
2025-10-15,9,F,12
2025-10-15,9,G,4
2025-10-15,9,H,7
2025-10-15,9,J,2
2025-10-15,9,K,2
2025-10-15,9,L,5
2025-10-15,9,M,1
2025-10-15,9,N,6
2025-10-15,9,GH,5
2025-10-15,9,IM1,7
2025-10-15,9,IM2,5
2025-10-15,9,Outside,91
2025-10-15,10,A,1
2025-10-15,10,B,13
2025-10-15,10,C,5
2025-10-15,10,D,14
2025-10-15,10,E,7
2025-10-15,10,F,8
2025-10-15,10,G,5
2025-10-15,10,H,6
2025-10-15,10,J,3
2025-10-15,10,K,3
2025-10-15,10,L,5
2025-10-15,10,M,1
2025-10-15,10,N,5
2025-10-15,10,GH,3
2025-10-15,10,IM1,12
2025-10-15,10,IM2,5
2025-10-15,10,Outside,98
2025-10-15,11,A,0
2025-10-15,11,B,16
2025-10-15,11,C,5
2025-10-15,11,D,15
2025-10-15,11,E,11
2025-10-15,11,F,6
2025-10-15,11,G,4
2025-10-15,11,H,12
2025-10-15,11,J,3
2025-10-15,11,K,5
2025-10-15,11,L,4
2025-10-15,11,M,1
2025-10-15,11,N,6
2025-10-15,11,GH,4
2025-10-15,11,IM1,6
2025-10-15,11,IM2,2
2025-10-15,11,Outside,99
2025-10-15,12,A,0
2025-10-15,12,B,11
2025-10-15,12,C,8
2025-10-15,12,D,11
2025-10-15,12,E,11
2025-10-15,12,F,7
2025-10-15,12,G,4
2025-10-15,12,H,8
2025-10-15,12,J,3
2025-10-15,12,K,2
2025-10-15,12,L,6
2025-10-15,12,M,1
2025-10-15,12,N,7
2025-10-15,12,GH,5
2025-10-15,12,IM1,9
2025-10-15,12,IM2,2
2025-10-15,12,Outside,119
2025-10-15,13,A,1
2025-10-15,13,B,11
2025-10-15,13,C,8
2025-10-15,13,D,20
2025-10-15,13,E,6
2025-10-15,13,F,8
2025-10-15,13,G,6
2025-10-15,13,H,8
2025-10-15,13,J,2
2025-10-15,13,K,2
2025-10-15,13,L,4
2025-10-15,13,M,3
2025-10-15,13,N,3
2025-10-15,13,GH,3
2025-10-15,13,IM1,9
2025-10-15,13,IM2,5
2025-10-15,13,Outside,103
2025-10-15,14,A,1
2025-10-15,14,B,18
2025-10-15,14,C,4
2025-10-15,14,D,14
2025-10-15,14,E,8
2025-10-15,14,F,5
2025-10-15,14,G,3
2025-10-15,14,H,13
2025-10-15,14,J,3
2025-10-15,14,K,2
2025-10-15,14,L,5
2025-10-15,14,M,2
2025-10-15,14,N,6
2025-10-15,14,GH,0
2025-10-15,14,IM1,10
2025-10-15,14,IM2,3
2025-10-15,14,Outside,97
2025-10-15,15,A,3
2025-10-15,15,B,19
2025-10-15,15,C,10
2025-10-15,15,D,7
2025-10-15,15,E,7
2025-10-15,15,F,2
2025-10-15,15,G,7
2025-10-15,15,H,8
2025-10-15,15,J,3
2025-10-15,15,K,5
2025-10-15,15,L,5
2025-10-15,15,M,1
2025-10-15,15,N,7
2025-10-15,15,GH,4
2025-10-15,15,IM1,10
2025-10-15,15,IM2,3
2025-10-15,15,Outside,87
2025-10-15,16,A,0
2025-10-15,16,B,25
2025-10-15,16,C,18
2025-10-15,16,D,4
2025-10-15,16,E,5
2025-10-15,16,F,4
2025-10-15,16,G,3
2025-10-15,16,H,11
2025-10-15,16,J,3
2025-10-15,16,K,4
2025-10-15,16,L,4
2025-10-15,16,M,1
2025-10-15,16,N,7
2025-10-15,16,GH,3
2025-10-15,16,IM1,9
2025-10-15,16,IM2,5
2025-10-15,16,Outside,83
2025-10-15,17,A,0
2025-10-15,17,B,19
2025-10-15,17,C,20
2025-10-15,17,D,8
2025-10-15,17,E,4
2025-10-15,17,F,5
2025-10-15,17,G,5
2025-10-15,17,H,10
2025-10-15,17,J,4
2025-10-15,17,K,3
2025-10-15,17,L,9
2025-10-15,17,M,1
2025-10-15,17,N,7
2025-10-15,17,GH,5
2025-10-15,17,IM1,9
2025-10-15,17,IM2,2
2025-10-15,17,Outside,71
2025-10-15,18,A,0
2025-10-15,18,B,22
2025-10-15,18,C,18
2025-10-15,18,D,5
2025-10-15,18,E,6
2025-10-15,18,F,2
2025-10-15,18,G,6
2025-10-15,18,H,7
2025-10-15,18,J,2
2025-10-15,18,K,3
2025-10-15,18,L,6
2025-10-15,18,M,2
2025-10-15,18,N,7
2025-10-15,18,GH,2
2025-10-15,18,IM1,10
2025-10-15,18,IM2,5
2025-10-15,18,Outside,85
2025-10-15,19,A,0
2025-10-15,19,B,30
2025-10-15,19,C,16
2025-10-15,19,D,5
2025-10-15,19,E,8
2025-10-15,19,F,2
2025-10-15,19,G,5
2025-10-15,19,H,9
2025-10-15,19,J,3
2025-10-15,19,K,2
2025-10-15,19,L,6
2025-10-15,19,M,1
2025-10-15,19,N,8
2025-10-15,19,GH,4
2025-10-15,19,IM1,11
2025-10-15,19,IM2,7
2025-10-15,19,Outside,75
2025-10-15,20,A,1
2025-10-15,20,B,14
2025-10-15,20,C,3
2025-10-15,20,D,9
2025-10-15,20,E,6
2025-10-15,20,F,4
2025-10-15,20,G,2
2025-10-15,20,H,11
2025-10-15,20,J,2
2025-10-15,20,K,3
2025-10-15,20,L,7
2025-10-15,20,M,1
2025-10-15,20,N,6
2025-10-15,20,GH,4
2025-10-15,20,IM1,12
2025-10-15,20,IM2,6
2025-10-15,20,Outside,102
2025-10-15,21,A,0
2025-10-15,21,B,33
2025-10-15,21,C,7
2025-10-15,21,D,13
2025-10-15,21,E,8
2025-10-15,21,F,7
2025-10-15,21,G,4
2025-10-15,21,H,11
2025-10-15,21,J,2
2025-10-15,21,K,3
2025-10-15,21,L,7
2025-10-15,21,M,1
2025-10-15,21,N,6
2025-10-15,21,GH,9
2025-10-15,21,IM1,14
2025-10-15,21,IM2,6
2025-10-15,21,Outside,71
2025-10-15,22,A,0
2025-10-15,22,B,20
2025-10-15,22,C,12
2025-10-15,22,D,10
2025-10-15,22,E,9
2025-10-15,22,F,0
2025-10-15,22,G,6
2025-10-15,22,H,10
2025-10-15,22,J,2
2025-10-15,22,K,4
2025-10-15,22,L,5
2025-10-15,22,M,2
2025-10-15,22,N,8
2025-10-15,22,GH,8
2025-10-15,22,IM1,15
2025-10-15,22,IM2,3
2025-10-15,22,Outside,87
2025-10-15,23,A,0
2025-10-15,23,B,21
2025-10-15,23,C,14
2025-10-15,23,D,7
2025-10-15,23,E,7
2025-10-15,23,F,9
2025-10-15,23,G,3
2025-10-15,23,H,14
2025-10-15,23,J,1
2025-10-15,23,K,2
2025-10-15,23,L,5
2025-10-15,23,M,2
2025-10-15,23,N,8
2025-10-15,23,GH,7
2025-10-15,23,IM1,17
2025-10-15,23,IM2,4
2025-10-15,23,Outside,91
2025-10-15,24,A,0
2025-10-15,24,B,11
2025-10-15,24,C,7
2025-10-15,24,D,6
2025-10-15,24,E,7
2025-10-15,24,F,5
2025-10-15,24,G,5
2025-10-15,24,H,11
2025-10-15,24,J,1
2025-10-15,24,K,4
2025-10-15,24,L,5
2025-10-15,24,M,2
2025-10-15,24,N,8
2025-10-15,24,GH,5
2025-10-15,24,IM1,14
2025-10-15,24,IM2,4
2025-10-15,24,Outside,117
2025-10-15,25,A,0
2025-10-15,25,B,14
2025-10-15,25,C,8
2025-10-15,25,D,8
2025-10-15,25,E,9
2025-10-15,25,F,4
2025-10-15,25,G,5
2025-10-15,25,H,9
2025-10-15,25,J,2
2025-10-15,25,K,4
2025-10-15,25,L,5
2025-10-15,25,M,3
2025-10-15,25,N,3
2025-10-15,25,GH,8
2025-10-15,25,IM1,14
2025-10-15,25,IM2,2
2025-10-15,25,Outside,105
2025-10-15,26,A,0
2025-10-15,26,B,9
2025-10-15,26,C,6
2025-10-15,26,D,8
2025-10-15,26,E,13
2025-10-15,26,F,4
2025-10-15,26,G,2
2025-10-15,26,H,12
2025-10-15,26,J,2
2025-10-15,26,K,5
2025-10-15,26,L,4
2025-10-15,26,M,0
2025-10-15,26,N,8
2025-10-15,26,GH,11
2025-10-15,26,IM1,9
2025-10-15,26,IM2,7
2025-10-15,26,Outside,112
2025-10-15,27,A,2
2025-10-15,27,B,9
2025-10-15,27,C,10
2025-10-15,27,D,5
2025-10-15,27,E,13
2025-10-15,27,F,4
2025-10-15,27,G,11
2025-10-15,27,H,7
2025-10-15,27,J,1
2025-10-15,27,K,5
2025-10-15,27,L,6
2025-10-15,27,M,0
2025-10-15,27,N,9
2025-10-15,27,GH,5
2025-10-15,27,IM1,9
2025-10-15,27,IM2,4
2025-10-15,27,Outside,108
2025-10-15,28,A,1
2025-10-15,28,B,16
2025-10-15,28,C,7
2025-10-15,28,D,8
2025-10-15,28,E,11
2025-10-15,28,F,3
2025-10-15,28,G,4
2025-10-15,28,H,10
2025-10-15,28,J,2
2025-10-15,28,K,3
2025-10-15,28,L,6
2025-10-15,28,M,1
2025-10-15,28,N,8
2025-10-15,28,GH,8
2025-10-15,28,IM1,17
2025-10-15,28,IM2,4
2025-10-15,28,Outside,89
2025-10-15,29,A,0
2025-10-15,29,B,7
2025-10-15,29,C,8
2025-10-15,29,D,5
2025-10-15,29,E,15
2025-10-15,29,F,5
2025-10-15,29,G,7
2025-10-15,29,H,10
2025-10-15,29,J,2
2025-10-15,29,K,3
2025-10-15,29,L,5
2025-10-15,29,M,1
2025-10-15,29,N,9
2025-10-15,29,GH,4
2025-10-15,29,IM1,13
2025-10-15,29,IM2,7
2025-10-15,29,Outside,104
2025-10-15,30,A,0
2025-10-15,30,B,13
2025-10-15,30,C,4
2025-10-15,30,D,7
2025-10-15,30,E,10
2025-10-15,30,F,7
2025-10-15,30,G,7
2025-10-15,30,H,8
2025-10-15,30,J,2
