sward_id,pos_x,pos_y,floor,Building,description
21000002,341,344,3F,ICN_Airport,SIGNAGE / L33
21000003,542,444,3F,ICN_Airport,KIOSK / K11
21000004,341,404,3F,ICN_Airport,SIGNAGE / L32
21000005,441,377,3F,ICN_Airport,SIGNAGE / K28
21000006,1204,311,3F,ICN_Airport,SIGNAGE / E16
21000007,481,417,3F,ICN_Airport,SIGNAGE / K27
21000008,722,311,3F,ICN_Airport,SIGNAGE / H21
21000009,702,311,3F,ICN_Airport,SIGNAGE / H22
2100000A,602,311,3F,ICN_Airport,SIGNAGE / J25
2100000B,100,510,3F,ICN_Airport,KIOSK / K14
2100000C,401,457,3F,ICN_Airport,KIOSK / K12
2100000D,903,424,3F,ICN_Airport,KIOSK / K8
2100000E,582,318,3F,ICN_Airport,SIGNAGE / J26
2100000F,963,463,3F,ICN_Airport,KIOSK / K7
21000010,441,311,3F,ICN_Airport,SIGNAGE / K30
21000011,361,404,3F,ICN_Airport,SIGNAGE / L31
21000012,1585,252,3F,ICN_Airport,
21000013,722,212,3F,ICN_Airport,KIOSK / K20
21000014,1204,205,3F,ICN_Airport,KIOSK / K18
21000015,1224,311,3F,ICN_Airport,SIGNAGE / E15
21000016,421,457,3F,ICN_Airport,KIOSK(MULTI) / KM3
21000017,662,444,3F,ICN_Airport,KIOSK / K10
21000018,321,344,3F,ICN_Airport,SIGNAGE / L34
21000019,1123,430,3F,ICN_Airport,KIOSK / K5
2100001A,1344,205,3F,ICN_Airport,KIOSK / K17
2100001B,481,357,3F,ICN_Airport,SIGNAGE / K29
2100001C,461,225,3F,ICN_Airport,KIOSK / K22
2100001D,582,218,3F,ICN_Airport,KIOSK / K21
2100001E,1344,318,3F,ICN_Airport,SIGNAGE / D11
2100001F,1204,384,3F,ICN_Airport,SIGNAGE / E14
21000020,602,371,3F,ICN_Airport,SIGNAGE / J23
21000021,782,437,3F,ICN_Airport,KIOSK / K9
21000022,582,371,3F,ICN_Airport,SIGNAGE / J24
21000023,702,364,3F,ICN_Airport,SIGNAGE / H19
21000024,1324,391,3F,ICN_Airport,SIGNAGE / D10
21000025,301,470,3F,ICN_Airport,KIOSK(MULTI) / KM4
21000026,1083,397,3F,ICN_Airport,SIGNAGE / F17
21000027,843,397,3F,ICN_Airport,SIGNAGE / G18
21000028,1224,384,3F,ICN_Airport,SIGNAGE / E13
21000029,1324,318,3F,ICN_Airport,SIGNAGE / D12
2100002A,1264,437,3F,ICN_Airport,KIOSK / K4
2100002B,1484,397,3F,ICN_Airport,SIGNAGE / C5
2100002C,1464,397,3F,ICN_Airport,SIGNAGE / C6
2100002D,321,238,3F,ICN_Airport,KIOSK / K23
2100002E,963,205,3F,ICN_Airport,KIOSK / K19
2100002F,1484,324,3F,ICN_Airport,SIGNAGE / C7
21000030,1464,324,3F,ICN_Airport,SIGNAGE / C8
21000031,1525,450,3F,ICN_Airport,KIOSK(MULTI) / KM2
21000032,1344,391,3F,ICN_Airport,SIGNAGE / D9
21000033,1404,437,3F,ICN_Airport,KIOSK / K3
21000034,1023,424,3F,ICN_Airport,KIOSK / K6
21000035,1625,331,3F,ICN_Airport,SIGNAGE / B3
21000036,1665,463,3F,ICN_Airport,KIOSK / K1
21000037,1545,450,3F,ICN_Airport,KIOSK / K2
21000038,1484,212,3F,ICN_Airport,KIOSK / K16
21000039,1685,463,3F,ICN_Airport,KIOSK(MULTI) / KM1
2100003A,1625,225,3F,ICN_Airport,KIOSK / K15
2100003B,1605,331,3F,ICN_Airport,SIGNAGE / B4
2100003C,1625,404,3F,ICN_Airport,SIGNAGE / B1
2100003D,1605,404,3F,ICN_Airport,SIGNAGE / B2
2100003E,281,470,3F,ICN_Airport,KIOSK / K13
2100003F,522,318,3F,ICN_Airport, AIRLINE_COUNTER / K14
21000040,80,364,3F,ICN_Airport,SIGNAGE / N38
21000041,1163,404,3F,ICN_Airport,AIRLINE_COUNTER / E21
21000042,100,450,3F,ICN_Airport,SIGNAGE / N37
21000043,1284,371,3F,ICN_Airport, AIRLINE_COUNTER / D24
21000044,1264,371,3F,ICN_Airport, AIRLINE_COUNTER / E4
21000045,542,384,3F,ICN_Airport, AIRLINE_COUNTER / J24
21000046,702,126,3F,ICN_Airport,TV4 / EXIT
21000047,542,126,3F,ICN_Airport,TV6 / EXIT
21000048,1264,404,3F,ICN_Airport, AIRLINE_COUNTER / E1
21000049,1163,371,3F,ICN_Airport, AIRLINE_COUNTER / E24
2100004A,1304,113,3F,ICN_Airport,TV2 / EXIT
2100004B,201,344,3F,ICN_Airport,SIGNAGE / M36
2100004C,1163,338,3F,ICN_Airport, AIRLINE_COUNTER / E29
2100004D,542,285,3F,ICN_Airport, AIRLINE_COUNTER / J38
2100004E,1163,265,3F,ICN_Airport, AIRLINE_COUNTER / E38
2100004F,160,252,3F,ICN_Airport,KIOSK / K24
21000050,1264,331,3F,ICN_Airport,
21000051,1123,331,3F,ICN_Airport, AIRLINE_COUNTER / F9
21000052,221,430,3F,ICN_Airport,SIGNAGE / M35
21000053,522,285,3F,ICN_Airport, AIRLINE_COUNTER / K18
21000054,1163,298,3F,ICN_Airport, AIRLINE_COUNTER / E34
21000055,542,351,3F,ICN_Airport, AIRLINE_COUNTER / J29
21000056,642,344,3F,ICN_Airport, AIRLINE_COUNTER / J9
21000057,160,483,3F,ICN_Airport,KIOSK(MULTI) / KM5
21000058,642,377,3F,ICN_Airport, AIRLINE_COUNTER / J4
21000059,622,516,3F,ICN_Airport,PANEL / GATE9 / P14
2100005A,522,351,3F,ICN_Airport, AIRLINE_COUNTER / K9
2100005B,1123,265,3F,ICN_Airport,COUNTER / F18
2100005C,542,166,3F,ICN_Airport,TV5 / EXIT
2100005D,642,278,3F,ICN_Airport, AIRLINE_COUNTER / J18
2100005E,542,318,3F,ICN_Airport, AIRLINE_COUNTER / J34
2100005F,1284,331,3F,ICN_Airport, AIRLINE_COUNTER / D29
21000060,1284,271,3F,ICN_Airport, AIRLINE_COUNTER / D38
21000061,642,410,3F,ICN_Airport, AIRLINE_COUNTER / J1
21000062,1304,152,3F,ICN_Airport,TV1 / EXIT
21000063,1284,298,3F,ICN_Airport,SIGNAGE / SH20
21000064,522,417,3F,ICN_Airport, AIRLINE_COUNTER / K1
21000065,321,271,3F,ICN_Airport,CHARGER / L COUNTER left / C17
21000066,1284,404,3F,ICN_Airport, AIRLINE_COUNTER / D21
21000067,702,159,3F,ICN_Airport,TV3 / EXIT
21000068,1264,271,3F,ICN_Airport, AIRLINE_COUNTER / E18
21000069,542,417,3F,ICN_Airport, AIRLINE_COUNTER / J21
2100006A,1184,132,3F,ICN_Airport,PANEL / E SECTION 교통약자우대출구 / P22 / EXIT
2100006B,642,311,3F,ICN_Airport, AIRLINE_COUNTER / J14
2100006C,522,384,3F,ICN_Airport, AIRLINE_COUNTER / K4
2100006D,682,503,3F,ICN_Airport,PANEL / GATE8-9 ESCALATOR / P13
2100006E,1264,298,3F,ICN_Airport, AIRLINE_COUNTER / E14
2100006F,1224,238,3F,ICN_Airport,CHARGER / E COUNTER right / C7
21000070,1384,377,3F,ICN_Airport, AIRLINE_COUNTER / D4
21000071,662,278,3F,ICN_Airport, AIRLINE_COUNTER / H38
21000072,802,338,3F,ICN_Airport, AIRLINE_COUNTER / G9
21000073,762,271,3F,ICN_Airport, AIRLINE_COUNTER / H18
21000074,762,338,3F,ICN_Airport, AIRLINE_COUNTER / H9
21000075,1384,271,3F,ICN_Airport, AIRLINE_COUNTER / D18
21000076,722,364,3F,ICN_Airport,
21000077,1424,351,3F,ICN_Airport, AIRLINE_COUNTER / C25
21000079,562,252,3F,ICN_Airport,CHARGER / J COUNTER left / C14
2100007A,802,305,3F,ICN_Airport, AIRLINE_COUNTER / G14
2100007B,1264,463,3F,ICN_Airport,CHECK-IN SINAGE / D-E / CS2
2100007C,662,470,3F,ICN_Airport,CHECK-IN SINAGE / H-J / CS5
2100007D,1123,404,3F,ICN_Airport, AIRLINE_COUNTER / F1
2100007E,802,371,3F,ICN_Airport, AIRLINE_COUNTER / G4
2100007F,1404,477,3F,ICN_Airport,CHECK-IN SINAGE / C-D / CS1
21000080,1384,344,3F,ICN_Airport, AIRLINE_COUNTER / D9
21000081,762,371,3F,ICN_Airport, AIRLINE_COUNTER / H4
21000082,1123,497,3F,ICN_Airport,PANEL / GATE5-6 ESCALATOR / P8
21000083,802,271,3F,ICN_Airport, AIRLINE_COUNTER / G17
21000084,1143,463,3F,ICN_Airport,CHECK-IN SINAGE / E-F / CS3
21000085,1424,271,3F,ICN_Airport, AIRLINE_COUNTER / C34
21000086,542,483,3F,ICN_Airport,CHECK-IN SINAGE / J-K / CS6
21000087,1123,371,3F,ICN_Airport, AIRLINE_COUNTER / F4
21000088,1424,384,3F,ICN_Airport, AIRLINE_COUNTER / C21
21000089,662,311,3F,ICN_Airport, AIRLINE_COUNTER / H34
2100008A,782,470,3F,ICN_Airport,CHECK-IN SINAGE / G-H / CS4
2100008B,1384,305,3F,ICN_Airport, AIRLINE_COUNTER / D14
2100008C,1384,410,3F,ICN_Airport,
2100008E,662,377,3F,ICN_Airport, AIRLINE_COUNTER / H29
2100008F,662,344,3F,ICN_Airport, AIRLINE_COUNTER / H24
21000090,762,404,3F,ICN_Airport, AIRLINE_COUNTER / H1
21000091,1424,417,3F,ICN_Airport, AIRLINE_COUNTER / C17
21000092,802,404,3F,ICN_Airport, AIRLINE_COUNTER / G1
21000093,762,305,3F,ICN_Airport, AIRLINE_COUNTER / H14
21000094,401,516,3F,ICN_Airport,PANEL / GATE10-11 ESCALATOR / P16
21000095,662,410,3F,ICN_Airport, AIRLINE_COUNTER / H21
21000096,1123,298,3F,ICN_Airport, AIRLINE_COUNTER / F14
